0,0,1
1,0,1
2,0,1
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,12,3.464101615
9,23,4.795831523
10,30,5.477225575
11,23,4.795831523
12,38,6.164414003
13,29,5.385164807
14,19,4.358898944
15,26,5.099019514
16,27,5.196152423
17,26,5.099019514
18,18,4.242640687
19,33,5.744562647
20,25,5
21,26,5.099019514
22,31,5.567764363
23,34,5.830951895
24,33,5.744562647
25,24,4.898979486
26,21,4.582575695
27,25,5
28,31,5.567764363
29,34,5.830951895
30,31,5.567764363
31,33,5.744562647
32,38,6.164414003
33,34,5.830951895
34,44,6.633249581
35,41,6.403124237
36,35,5.916079783
37,37,6.08276253
38,36,6
39,32,5.656854249
40,28,5.291502622
41,40,6.32455532
42,30,5.477225575
43,30,5.477225575
44,30,5.477225575
45,36,6
46,31,5.567764363
47,25,5
48,32,5.656854249
49,37,6.08276253
50,40,6.32455532
51,39,6.244997998
52,28,5.291502622
53,28,5.291502622
54,31,5.567764363
55,41,6.403124237
56,34,5.830951895
57,38,6.164414003
58,42,6.480740698
59,41,6.403124237
60,38,6.164414003
61,46,6.782329983
62,42,6.480740698
63,30,5.477225575
64,30,5.477225575
65,30,5.477225575
66,39,6.244997998
67,36,6
68,46,6.782329983
69,38,6.164414003
70,48,6.92820323
71,61,7.810249676
72,55,7.416198487
73,64,8
74,81,9
75,67,8.185352772
76,85,9.219544457
77,96,9.797958971
78,91,9.539392014
79,89,9.433981132
80,95,9.746794345
81,107,10.34408043
82,103,10.14889157
83,96,9.797958971
84,83,9.110433579
85,87,9.327379053
86,90,9.486832981
87,101,10.04987562
88,89,9.433981132
89,95,9.746794345
90,109,10.44030651
91,98,9.899494937
92,101,10.04987562
93,101,10.04987562
94,86,9.273618495
95,99,9.949874371
96,106,10.29563014
97,85,9.219544457
98,95,9.746794345
99,89,9.433981132
100,91,9.539392014
101,80,8.94427191
102,86,9.273618495
103,83,9.110433579
104,81,9
105,92,9.591663047
106,107,10.34408043
107,75,8.660254038
108,91,9.539392014
109,82,9.055385138
110,92,9.591663047
111,72,8.485281374
112,83,9.110433579
113,89,9.433981132
114,84,9.16515139
115,97,9.848857802
116,93,9.643650761
117,113,10.63014581
118,194,13.92838828
119,352,18.76166304
120,513,22.64950331
121,627,25.03996805
122,776,27.85677655
123,910,30.16620626
124,1063,32.60368077
125,1223,34.9714169
126,1396,37.36308338
127,1520,38.98717738
128,1618,40.22437072
129,1734,41.64132563
130,1848,42.98837052
131,2006,44.78839135
132,2125,46.09772229
133,2260,47.5394573
134,2247,47.40253158
135,2150,46.36809248
136,2133,46.18441296
137,2245,47.38143096
138,2368,48.66210024
139,2258,47.51841748
140,2227,47.19110086
141,2284,47.79121258
142,2146,46.32493929
143,2232,47.24404724
144,2208,46.9893605
145,2104,45.86937976
146,2143,46.292548
147,2259,47.52893855
148,2505,50.04997502
149,2827,53.16954015
150,3218,56.72741841
151,3505,59.20304046
152,3720,60.99180273
153,3764,61.3514466
154,3770,61.40032573
155,3856,62.09669879
156,3983,63.1110133
157,4008,63.30876717
158,3703,60.85228015
159,3219,56.73623181
160,2996,54.73572873
161,2636,51.34199061
162,2307,48.03123983
163,1970,44.38468204
164,1917,43.78355856
165,1808,42.52058325
166,1689,41.09744518
167,1654,40.66939882
168,1526,39.06404997
169,1527,39.07684737
170,1547,39.33192088
171,1603,40.03748244
172,1558,39.47150871
173,1506,38.80721582
174,1481,38.48376281
175,1456,38.15756806
176,1403,37.4566416
177,1397,37.37646318
178,1316,36.27671429
179,1145,33.83784863
180,1068,32.68026928
181,891,29.84962311
182,767,27.69476485
183,626,25.01999201
184,500,22.36067977
185,348,18.65475811
186,227,15.06651917
187,131,11.44552314
188,98,9.899494937
189,113,10.63014581
190,80,8.94427191
191,86,9.273618495
192,100,10
193,91,9.539392014
194,92,9.591663047
195,97,9.848857802
196,82,9.055385138
197,97,9.848857802
198,85,9.219544457
199,85,9.219544457
200,87,9.327379053
201,100,10
202,88,9.38083152
203,92,9.591663047
204,85,9.219544457
205,82,9.055385138
206,82,9.055385138
207,71,8.426149773
208,79,8.888194417
209,86,9.273618495
210,73,8.544003745
211,78,8.831760866
212,79,8.888194417
213,85,9.219544457
214,71,8.426149773
215,86,9.273618495
216,75,8.660254038
217,67,8.185352772
218,80,8.94427191
219,78,8.831760866
220,68,8.246211251
221,72,8.485281374
222,78,8.831760866
223,62,7.874007874
224,60,7.745966692
225,65,8.062257748
226,61,7.810249676
227,75,8.660254038
228,55,7.416198487
229,53,7.280109889
230,56,7.483314774
231,49,7
232,53,7.280109889
233,31,5.567764363
234,41,6.403124237
235,36,6
236,29,5.385164807
237,53,7.280109889
238,34,5.830951895
239,23,4.795831523
240,27,5.196152423
241,33,5.744562647
242,41,6.403124237
243,31,5.567764363
244,34,5.830951895
245,41,6.403124237
246,32,5.656854249
247,25,5
248,39,6.244997998
249,24,4.898979486
250,30,5.477225575
251,28,5.291502622
252,25,5
253,29,5.385164807
254,18,4.242640687
255,29,1
256,24,1
257,20,1
258,20,1
259,23,1
260,22,1
261,17,1
262,21,1
263,21,1
264,26,1
265,25,1
266,21,1
267,28,1
268,21,1
269,20,1
270,25,1
271,14,1
272,16,1
273,23,1
274,24,1
275,14,1
276,19,1
277,21,1
278,23,1
279,27,1
280,24,1
281,32,1
282,17,1
283,22,1
284,20,1
285,26,1
286,13,1
287,17,1
288,17,1
289,24,1
290,19,1
291,23,1
292,17,1
293,19,1
294,21,1
295,15,1
296,3,1
297,0,1
298,0,1
299,0,1
300,0,1
301,0,1
302,0,1
303,0,1
